Maps.map_id,latitude,longtitude,Shapes.area_or_path,Shapes.center,Shapes.shape_creater,Shapes.title,Shapes.description,Shapes.rate,Maps_Categories.category_type
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,ice kreem in the sea,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Point
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Road
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Road
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,around icekreem,,2,Road
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,area for icekreem,,2,Area
2,-34.23955179225663,146.51191559375002,None,None,Mohammed,,,2,Area
